titles,years,descriptions,genres
Shanghai Noon,2000,"    A Chinese man travels to the Wild West to rescue a kidnapped Princess. After teaming up with a train robber, the unlikely duo takes on a Chinese traitor and his corrupt boss.","Action, Adventure, Comedy            "
What Lies Beneath,2000,    The wife of a university research scientist believes that her lakeside Vermont home is haunted by a ghost - or that she is losing her mind.,"Drama, Fantasy, Horror            "
The 6th Day,2000,    Futuristic action film about a man who meets a clone of himself and stumbles into a grand conspiracy about clones taking over the world.,"Action, Mystery, Sci-Fi            "
Malcolm in the Middle,2000,"    A gifted young teen tries to survive life with his dimwitted, dysfunctional family.","Comedy, Family            "
Pay It Forward,2000,    A young boy attempts to make the world a better place after his teacher gives him that chance.,Drama            
The Whole Nine Yards,2000,"    A struggling dentist's life is turned upside down when a famous gangster moves in next door, and his wife convinces him to inform a notorious mob boss about the gangster's whereabouts.","Comedy, Crime            "
Men of Honor,2000,"    The story of Carl Brashear, the first African-American U.S. Navy Diver, and the man who trained him.","Biography, Drama            "
Coyote Ugly,2000,"    Aspiring songwriter Violet Sanford, after getting a job at a women-run NYC bar that teases its male patrons, comes out of her shell.","Comedy, Drama, Music            "
The Family Man,2000,"    A fast-lane investment broker, offered the opportunity to see how the other half lives, wakes up to find that his sports car and girlfriend have become a mini-van and wife.","Comedy, Drama, Fantasy            "
Dancer in the Dark,2000,"    An East European girl travels to the United States with her young son, expecting it to be like a Hollywood film.","Crime, Drama, Musical            "
The Lord of the Rings: The Fellowship of the Ring,2001,    A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,"Action, Adventure, Drama            "
A Beautiful Mind,2001,"    After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.","Biography, Drama            "
"Monsters, Inc.",2001,"    In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think.","Animation, Adventure, Comedy            "
Donnie Darko,2001,"    After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes.","Drama, Mystery, Sci-Fi            "
Amélie,2001,"    Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.","Comedy, Romance            "
Spirited Away,2001,"    During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.","Animation, Adventure, Family            "
Harry Potter and the Sorcerer's Stone,2001,"    An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.","Adventure, Family, Fantasy            "
Shrek,2001,"    A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.","Animation, Adventure, Comedy            "
Ocean's Eleven,2001,    Danny Ocean and his ten accomplices plan to rob three Las Vegas casinos simultaneously.,"Crime, Thriller            "
Training Day,2001,    A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be.,"Crime, Drama, Thriller            "
Band of Brothers,2001,"    The story of Easy Company of the U.S. Army 101st Airborne Division, and their mission in World War II Europe, from Operation Overlord, through V-J Day.","Action, Drama, History            "
Black Hawk Down,2001,    160 elite U.S. soldiers drop into Somalia to capture two top lieutenants of a renegade warlord and find themselves in a desperate battle with a large force of heavily-armed Somalis.,"Drama, History, War            "
The Fast and the Furious,2001,    Los Angeles police officer Brian O'Conner must decide where his loyalty really lies when he becomes enamored with the street racing world he has been sent undercover to destroy.,"Action, Crime, Thriller            "
The Others,2001,    A woman who lives in her darkened old family house with her two photosensitive children becomes convinced that the home is haunted.,"Horror, Mystery, Thriller            "
Mulholland Drive,2001,"    After a car wreck on the winding Mulholland Drive renders a woman amnesiac, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality.","Drama, Mystery, Thriller            "
Pearl Harbor,2001,    A tale of war and romance mixed in with history. The story follows two lifelong friends and a beautiful nurse who are caught up in the horror of an infamous Sunday morning in 1941.,"Action, Drama, History            "
The Mummy Returns,2001,"    The mummified body of Imhotep is shipped to a museum in London, where he once again wakes and begins his campaign of rage and terror.","Action, Adventure, Fantasy            "
Jurassic Park III,2001,"    A decidedly odd couple with ulterior motives convince Dr. Grant to go to Isla Sorna for a holiday, but their unexpected landing startles the island's new inhabitants.","Action, Adventure, Sci-Fi            "
A.I. Artificial Intelligence,2001,"    A highly advanced robotic boy longs to become ""real"" so that he can regain the love of his human mother.","Drama, Sci-Fi            "
Moulin Rouge!,2001,    A poet falls for a beautiful courtesan whom a jealous duke covets.,"Drama, Musical, Romance            "
The Royal Tenenbaums,2001,    The eccentric members of a dysfunctional family reluctantly gather under the same roof for various reasons.,"Comedy, Drama            "
Hannibal,2001,"    Living in exile, Dr. Hannibal Lecter tries to reconnect with now disgraced F.B.I. Agent Clarice Starling, and finds himself a target for revenge from a powerful victim.","Crime, Drama, Thriller            "
